name,url,bytes,source
20160610-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20160610-asx200-rebalance.pdf,137808,marketindex
20160617-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20160617-asx200-demerger.pdf,75740,marketindex
20160621-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20160621-asx200-removal.pdf,75555,marketindex
20160722-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20160722-asx200-removal.pdf,75790,marketindex
20160902-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20160902-asx200-rebalance.pdf,140412,marketindex
20161205-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20161205-asx200-removal.pdf,80587,marketindex
20161209-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20161209-asx200-rebalance.pdf,142105,marketindex
20170421-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20170421-asx200-removal.pdf,72655,marketindex
20170609-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20170609-asx200-rebalance.pdf,129681,marketindex
20170728-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20170728-asx200-removal.pdf,73711,marketindex
20170901-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20170901-asx200-rebalance.pdf,128675,marketindex
20171107-asx200-addition.pdf,https://files.marketindex.com.au/files/announcements/20171107-asx200-addition.pdf,66429,marketindex
20171206-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20171206-asx200-removal.pdf,66825,marketindex
20171208-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20171208-asx200-rebalance.pdf,128295,marketindex
20180309-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20180309-asx200-rebalance.pdf,130569,marketindex
20180503-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20180503-asx200-removal.pdf,72393,marketindex
20180507-asx200-update.pdf,https://files.marketindex.com.au/files/announcements/20180507-asx200-update.pdf,67398,marketindex
20180518-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20180518-asx200-removal.pdf,72430,marketindex
20180524-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20180524-asx200-demerger.pdf,71013,marketindex
