ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
ALK,1,Addition,2026-04-15,2026-04-15,,True,True,True
ALU,1,Addition,2015-09-04,2015-09-04,Altium Limited,True,True,True
ALZ,1,Removal,2014-08-15,2014-08-15,,False,False,False
AMC,1,Addition,2013-12-10,2013-12-10,,True,True,True
AOG,1,Removal,2019-11-07,2019-11-07,,False,False,False
AOV,1,Removal,2025-09-05,2025-09-05,Amotiv Limited,True,True,True
APE,1,Addition,2019-12-13,2019-12-13,AP Eagers Limited,True,True,True
API,2,"Addition,Removal",2015-12-04,2019-09-06,Australian Pharmaceutical Industries Limited,False,False,False
APN,3,"Addition,Removal",2012-12-07,2016-06-17,APN News & Media Limited,False,False,False
APO,2,"Addition,Removal",2015-12-04,2018-10-11,APN Outdoor Group Limited,True,True,True
APT,2,"Addition,Removal",2018-06-08,2022-01-14,Afterpay Touch Group Limited,False,False,False
APX,2,"Addition,Removal",2018-06-08,2022-06-03,Appen Limited,True,True,True
AQA,1,Removal,2014-07-07,2014-07-07,,False,False,False
AQG,1,Removal,2014-03-07,2014-03-07,Alacer Gold Corp.,False,False,False
AQP,1,Removal,2012-09-07,2012-09-07,Aquarius Platinum Limited,False,False,False
ARF,1,Addition,2022-02-01,2022-02-01,,True,True,True
ARI,1,Removal,2015-12-04,2015-12-04,Arrium Limited,True,True,True
ARP,1,Addition,2014-03-07,2014-03-07,ARB Corporation Limited,False,False,False
ASB,4,"Addition,Removal",2015-09-04,2025-06-06,Austal Limited,True,True,True
ASK,1,Removal,2023-09-01,2023-09-01,Abacus Storage King,True,True,True
ASL,2,"Addition,Removal",2014-03-07,2018-03-09,Ausdrill Limited,True,True,True
AST,1,Removal,2022-02-01,2022-02-01,,False,False,False
AUN,1,Removal,2012-04-05,2012-04-05,,True,True,True
AUT,1,Removal,2014-05-20,2014-05-20,,True,True,True
AVH,1,Addition,2019-11-07,2019-11-07,,True,True,True
AVZ,2,"Addition,Removal",2022-03-04,2022-09-02,AVZ Minerals Limited,True,True,True
AWC,1,Removal,2024-07-19,2024-07-19,,True,True,True
AWE,1,Removal,2016-03-11,2016-03-11,AWE Limited,True,True,True
BAL,3,"Addition,Removal",2016-03-11,2018-03-09,Bellamy's Australia Limited,False,False,False
BAP,2,"Addition,Removal",2015-09-04,2025-12-05,Burson Group Limited,True,True,True
BBG,1,Removal,2013-09-06,2013-09-06,Billabong International Limited,True,True,True
BCI,2,"Addition,Removal",2013-12-06,2015-03-06,BC Iron Limited,True,True,True
BDR,1,Removal,2015-03-06,2015-03-06,Beadell Resources Limited,False,False,False
BGA,1,Addition,2014-03-07,2014-03-07,Bega Cheese Limited,True,True,True
BGL,1,Addition,2023-04-13,2023-04-13,,True,True,True
BIN,2,"Addition,Removal",2018-09-07,2021-07-08,Bingo Industries Limited,False,False,False
BKL,2,"Addition,Removal",2015-09-03,2023-07-18,,True,True,True
BKN,1,Removal,2015-09-04,2015-09-04,Bradken Limited,False,False,False
BKW,2,"Addition,Removal",2016-03-11,2025-09-09,Brickworks Limited,True,True,True
BLD,1,Removal,2024-05-02,2024-05-02,,True,True,True
