ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
FWD,1,Removal,2013-12-06,2013-12-06,Fleetwood Corporation Limited,True,True,True
FXJ,2,"Addition,Removal",2017-11-07,2018-11-21,,True,True,True
FXL,2,"Addition,Removal",2012-07-20,2017-12-08,FlexiGroup Limited,False,False,False
GBG,1,Removal,2013-03-01,2013-03-01,Gindalbie Metals Limited,False,False,False
GCL,1,Removal,2012-06-20,2012-06-20,,False,False,False
GDG,1,Addition,2025-04-16,2025-04-16,,True,True,True
GEM,1,Addition,2013-06-07,2013-06-07,G8 Education Limited,True,True,True
GFF,1,Removal,2015-02-24,2015-02-24,,False,False,False
GGP,1,Addition,2025-09-05,2025-09-05,Greatland Resources Limited,True,True,True
GMA,2,"Addition,Removal",2014-08-15,2018-09-07,Genworth Mortgage Insurance Australia Limited,False,False,False
GMD,1,Addition,2023-09-01,2023-09-01,Genesis Minerals Limited,True,True,True
GNC,1,Addition,2020-03-16,2020-03-16,,True,True,True
GNS,1,Removal,2011-12-16,2011-12-16,Gunns Limited,False,False,False
GOR,2,"Addition,Removal",2019-09-06,2025-09-22,Gold Road Resources Limited,True,True,True
GOZ,2,"Addition,Removal",2015-06-05,2023-12-01,Growthpoint Properties Australia,True,True,True
GQG,1,Addition,2025-09-05,2025-09-05,GQG Partners Inc.,True,True,True
GRY,1,Removal,2013-03-01,2013-03-01,Gryphon Minerals Limited,False,False,False
GTY,2,"Addition,Removal",2015-09-04,2018-10-04,Gateway Lifestyle Group,True,True,True
GWA,1,Removal,2021-03-12,2021-03-12,GWA Group Limited,True,True,True
GXL,2,"Addition,Removal",2014-07-14,2018-09-07,Greencross Limited,False,False,False
GXY,2,"Addition,Removal",2016-09-02,2019-12-13,Galaxy Resources Limited,False,False,False
GYG,2,"Addition,Removal",2024-09-06,2026-06-05,Guzman Y Gomez Limited,True,True,True
HDN,1,Addition,2022-04-07,2022-04-07,,True,True,True
HIL,1,Removal,2011-09-16,2011-09-16,Hills Holdings Limited,False,False,False
HLI,1,Addition,2023-12-01,2023-12-01,Helia Group Limited,True,True,True
HLS,1,Removal,2025-06-06,2025-06-06,Healius Limited,True,True,True
HMC,2,"Addition,Removal",2022-03-04,2025-12-05,Home Consortium Limited,True,True,True
HSO,1,Addition,2014-10-08,2014-10-08,,False,False,False
HT1,1,Removal,2018-03-09,2018-03-09,HT&E Limited,True,True,True
HUB,3,"Addition,Removal",2019-03-08,2021-03-12,HUB24 Limited,True,True,True
HZN,2,"Addition,Removal",2013-03-01,2015-03-06,Horizon Oil Limited,True,True,True
IAU,1,Removal,2012-12-07,2012-12-07,Intrepid Mines Limited,False,False,False
IDL,1,Addition,2011-10-26,2011-10-26,,False,False,False
IEL,2,"Addition,Removal",2018-05-03,2026-06-05,IDP Education Limited,True,True,True
IFL,1,Removal,2026-04-13,2026-04-13,,True,True,True
IFN,3,"Addition,Removal",2011-09-16,2019-03-08,Infigen Energy,True,True,True
IFT,1,Addition,2025-07-15,2025-07-15,,True,True,True
IGR,1,Addition,2011-12-16,2011-12-16,Integra Mining Limited,False,False,False
IIN,2,"Addition,Removal",2012-12-07,2015-08-20,iiNet Limited,False,False,False
ILU,1,Addition,2022-07-25,2022-07-25,,True,True,True
IMD,3,"Addition,Removal",2011-12-16,2025-03-07,Imdex Limited,True,True,True
IMU,1,Removal,2023-09-01,2023-09-01,Imugene Limited,True,True,True
INA,1,Addition,2019-12-13,2019-12-13,Ingenia Communities Group,True,True,True
ING,2,"Addition,Removal",2018-06-08,2025-12-05,Inghams Group Limited,True,True,True
INM,2,"Addition,Removal",2016-04-14,2018-06-08,Iron Mountain Incorporated,True,True,True
IOF,1,Removal,2018-08-31,2018-08-31,,False,False,False
IPH,2,"Addition,Removal",2016-03-11,2025-12-05,IPH Limited,True,True,True
IPX,1,Addition,2025-09-05,2025-09-05,IperionX Limited,True,True,True
ISD,2,"Addition,Removal",2015-12-04,2017-09-01,Isentia Group Limited,False,False,False
JDO,1,Addition,2024-06-11,2024-06-11,,True,True,True
JHC,2,"Addition,Removal",2014-07-07,2017-12-08,Japara Healthcare Limited,False,False,False
JHG,1,Removal,2022-09-02,2022-09-02,Janus Henderson Group PLC,True,True,True
JIN,2,"Addition,Removal",2019-09-06,2020-06-12,Jumbo Interactive Limited,True,True,True
JLG,2,"Addition,Removal",2022-09-02,2025-03-07,Johns Lyng Group Limited,True,True,True
KAR,2,"Addition,Removal",2016-03-11,2022-09-02,Karoon Gas Australia Limited,True,True,True
KCN,2,"Addition,Removal",2013-12-06,2026-06-05,Kingsgate Consolidated Limited,True,True,True
KLS,1,Removal,2025-03-07,2025-03-07,Kelsian Group Limited,True,True,True
KMD,2,"Addition,Removal",2013-11-08,2015-09-04,Kathmandu Holdings Limited,True,True,True
KZL,1,Removal,2012-03-02,2012-03-02,Kagara Limited,False,False,False
LIC,1,Removal,2025-09-05,2025-09-05,Lifestyle Communities Limited,True,True,True
LKE,2,"Addition,Removal",2022-06-03,2023-09-01,Lake Resources N.L.,True,True,True
LNC,3,"Addition,Removal",2012-12-07,2013-11-08,Linc Energy Ltd,True,True,True
LNG,2,"Addition,Removal",2014-09-05,2016-06-10,Liquefied Natural Gas Limited,False,False,False
LNK,2,"Addition,Removal",2016-02-04,2023-12-01,Link Administration Holdings Limited,True,True,True
LNW,1,Addition,2023-10-13,2023-10-13,,True,True,True
LOV,1,Addition,2022-09-02,2022-09-02,Lovisa Holdings Limited,True,True,True
LTM,2,"Addition,Removal",2023-12-19,2025-02-28,,False,False,False
LYC,2,"Addition,Removal",2015-03-06,2017-12-08,Lynas Corporation Limited,True,True,True
MAD,2,"Addition,Removal",2012-12-07,2013-06-07,Maverick Drilling and Exploration Limited,True,True,True
MAH,1,Removal,2012-12-07,2012-12-07,Macmahon Holdings Limited,True,True,True
MAQ,2,"Addition,Removal",2025-03-07,2025-09-05,Macquarie Technology Group Limited,True,True,True
MBN,1,Removal,2013-06-07,2013-06-07,Mirabela Nickel Limited,False,False,False
MCC,1,Removal,2011-10-26,2011-10-26,,False,False,False
MDL,1,Removal,2013-09-06,2013-09-06,Mineral Deposits Limited,True,True,True
MFG,1,Addition,2013-03-01,2013-03-01,Magellan Financial Group Limited,True,True,True
MGX,1,Removal,2015-03-06,2015-03-06,Mount Gibson Iron Limited,True,True,True
MI6,1,Addition,2026-06-05,2026-06-05,Minerals 260 Limited,True,True,True
MML,1,Removal,2014-12-05,2014-12-05,Medusa Mining Limited,True,True,True
MMS,1,Addition,2012-12-07,2012-12-07,McMillan Shakespeare Limited,True,True,True
MMX,1,Removal,2011-12-16,2011-12-16,Murchison Metals Ltd,False,False,False
MND,1,Addition,2022-12-02,2022-12-02,Monadelphous Group Limited,True,True,True
MP1,1,Addition,2020-06-12,2020-06-12,Megaport Limited,True,True,True
MPL,1,Addition,2015-02-24,2015-02-24,,True,True,True
MRM,1,Removal,2015-09-04,2015-09-04,MMA Offshore Limited,True,True,True
MSB,5,"Addition,Removal",2011-04-15,2025-02-28,Mesoblast Limited,True,True,True
MTR,2,"Addition,Removal",2015-09-04,2018-05-18,Mantra Group Limited,False,False,False
MTU,2,"Addition,Removal",2012-06-01,2016-02-01,M2 Telecommunications Group Limited,False,False,False
MYO,2,"Addition,Removal",2015-09-04,2019-04-15,MYOB Group Limited,False,False,False
MYR,1,Removal,2018-03-09,2018-03-09,Myer Holdings Limited,True,True,True
MYX,2,"Addition,Removal",2015-05-07,2020-06-12,Mayne Pharma Group Limited,True,True,True
NAB,1,Addition,2016-01-25,2016-01-25,,True,True,True
NAN,2,"Addition,Removal",2016-12-09,2024-09-06,Nanosonics Limited,True,True,True
NCK,1,Addition,2025-06-06,2025-06-06,Nick Scali Limited,True,True,True
NCM,1,Removal,2023-10-24,2023-10-24,,True,True,True
NEA,1,Addition,2019-04-15,2019-04-15,,False,False,False
NEC,1,Addition,2014-02-12,2014-02-12,,True,True,True
NEM,1,Addition,2023-10-24,2023-10-24,,True,True,True
NEU,1,Addition,2023-09-01,2023-09-01,Neuren Pharmaceuticals Limited,True,True,True
NHC,2,Addition,2018-11-29,2022-06-03,New Hope Corporation Limited,True,True,True
NHF,1,Addition,2017-09-01,2017-09-01,NIB Holdings Limited,True,True,True
NIC,1,Addition,2021-03-12,2021-03-12,Nickel Mines Limited,True,True,True
NSR,2,"Addition,Removal",2015-06-05,2026-04-15,National Storage REIT,True,True,True
NUF,1,Removal,2025-09-05,2025-09-05,Nufarm Limited,True,True,True
NVN,1,Removal,2015-05-22,2015-05-22,,False,False,False
NVT,1,Removal,2019-06-14,2019-06-14,,False,False,False
NVX,1,Removal,2023-03-03,2023-03-03,Novonix Limited,True,True,True
NWH,2,"Addition,Removal",2014-09-05,2023-03-03,NRW Holdings Limited,True,True,True
NWL,1,Addition,2019-09-06,2019-09-06,Netwealth Group Limited,True,True,True
NXG,1,Addition,2025-12-05,2025-12-05,NexGen Energy (Canada) Limited,True,True,True
NXL,3,"Addition,Removal",2021-03-12,2025-09-05,Nuix Limited,True,True,True
NXT,1,Addition,2016-09-02,2016-09-02,Nextdc Limited,True,True,True
OBL,1,Addition,2020-06-12,2020-06-12,Omni Bridgeway Limited,True,True,True
OBM,1,Addition,2025-12-05,2025-12-05,Ora Banda Mining Limited,True,True,True
OFX,2,"Addition,Removal",2014-03-07,2016-12-09,Ozforex Group Limited,True,True,True
