ticker,action,cohort,announcement_date,"ann[-1,+1]","ann[0,+1]","post[+2,+5]","post[+2,+10]","run[0,+10]","run[0,+20]"
FGL,Removal,off_cycle,2011-05-02,,,,,,
ACR,Addition,scheduled,2011-09-16,,,,,,
CNU,Removal,scheduled,2011-12-16,,,,,,
SLR,Addition,scheduled,2011-12-16,,,,,,
SUL,Addition,off_cycle,2012-03-21,0.9020143683255766,1.5263450339648599,2.764844941947331,1.108477681968878,2.634822715933738,6.79483094422817
TRY,Addition,off_cycle,2012-04-12,7.68057352841931,7.68057352841931,-4.610788618178874,-8.013395816676372,-0.33282228825706195,-1.5392972166880403
CDD,Addition,scheduled,2012-06-01,2.8545758642395724,2.955570233934779,-1.9546512525491222,-0.2632713721386293,2.692298861796149,1.180135918768077
PAN,Removal,scheduled,2012-09-07,14.175494896861496,16.083484613028265,7.615800637425374,10.815666968813954,26.899151581842215,33.392735955837985
LNC,Removal,scheduled,2012-12-07,12.920390963554441,8.803863446762495,23.509569805402457,29.09298094078298,37.89684438754547,61.97616616849939
MMS,Addition,scheduled,2012-12-07,0.24397160727460676,-0.0015840492170848819,3.0244566520496896,1.8447569679444054,1.8431729187273205,3.4859004935083755
MAH,Removal,scheduled,2012-12-07,-2.6829999458637954,-1.0765117280824077,-4.139313234648334,5.264056531108252,4.187544803025843,20.104864779130846
HZN,Addition,scheduled,2013-03-01,3.9080727684189576,5.248262553020089,-3.2910645896718105,-5.373507680508904,-0.12524512748881556,-5.532966393136951
MFG,Addition,scheduled,2013-03-01,-0.5571989194013467,3.0959055704262277,-8.941808223452652,-4.7670932871296525,-1.6711877167034257,-4.103873257026391
PMV,Addition,scheduled,2013-03-01,2.382572586787157,0.3240748540727534,-0.8262079089430996,-3.564969013178776,-3.2408941591060225,9.892974193643191
LNC,Addition,scheduled,2013-06-07,-9.025772435504443,-6.547814569145938,-22.160871978466147,-16.114765293270008,-22.662579862415946,-27.975757887496492
TRY,Removal,scheduled,2013-06-07,-3.092170911269388,-3.6881475923869593,12.682235523701834,1.329857545411226,-2.358290046975732,-27.756525537414422
DMP,Addition,scheduled,2013-06-07,0.9852712422991239,-1.7390055380545832,-1.0283100884996066,-3.0377511900408716,-4.776756728095455,-8.79985612299179
AHE,Addition,scheduled,2013-06-07,1.6171440974566131,0.5003340830057046,1.561964168817187,-43.370763085886594,-42.87042900288089,-7.2847505238356565
REA,Addition,scheduled,2013-06-07,-0.8678339098341143,-3.462818190813188,1.0488528112553075,-4.4161600670846735,-7.878978257897861,0.9022839637786499
SKT,Addition,scheduled,2013-09-06,3.48043634326487,2.2907272877059626,-1.0869901371453605,-4.365087419024983,-2.0743601313190196,8.565834359140146
MDL,Removal,scheduled,2013-09-06,2.123012024957016,-0.13978722164549318,1.4108094539791893,-8.2596063072787,-8.399393528924193,-17.03925255634822
BBG,Removal,scheduled,2013-09-06,-7.0196596130877476,-4.128858075634323,-0.14959241797305456,-2.374081377261559,-6.502939452895882,-25.941781281709186
EHL,Removal,scheduled,2013-09-06,12.995832677625096,10.35306439423842,-4.110979355600653,-4.802061406872505,5.551002987365915,9.188949144429333
KMD,Addition,off_cycle,2013-11-08,11.111176415937651,10.255047710846444,-2.0126052808551287,-2.415032985452526,7.840014725393918,6.707121120178519
LNC,Removal,off_cycle,2013-11-08,-8.048197172185967,-4.919622339679552,-19.066181038468667,-17.85108914077878,-22.77071148045833,-19.109891721967028
BXB,Addition,scheduled,2013-12-02,-1.0425590344151803,-0.1653183874221531,1.082415606989362,4.173550306072483,4.0082319186503295,5.269592279731516
RFG,Addition,scheduled,2013-12-06,0.8567735937891618,-1.273345303612583,1.8267018943259328,0.6822941440816521,-0.5910511595309309,3.190359487359118
FWD,Removal,scheduled,2013-12-06,-5.054324985821867,-1.0228748385173292,-0.6169653684809369,11.831149550927133,10.808274712409805,17.607354422317123
CDU,Removal,scheduled,2013-12-06,0.9684693624796292,0.8469180505375484,4.232899326300476,-3.7507505486786386,-2.9038324981410906,-12.598717862239095
VRL,Addition,scheduled,2013-12-06,35.80369271148149,1.0330195660156583,-24.110639146515666,-27.35913518616253,-26.326115620146872,-27.293946623505462
BLY,Removal,scheduled,2013-12-06,-4.392457251553005,1.066705252145339,13.396308580344096,26.046611036065826,27.113316288211163,54.01583000874744
KCN,Removal,scheduled,2013-12-06,4.16457099374361,3.2828360145823354,10.197011287031398,-0.7460754019725364,2.5367606126097986,8.501270929389367
SDL,Removal,scheduled,2013-12-06,2.470309707748508,1.0330195660156583,-9.57581292279659,-6.499063057227485,-5.466043491211826,-16.81081239665827
SGH,Addition,scheduled,2013-12-06,0.6565162591274154,1.0348486467724016,7.062263761397814,9.10308625343188,10.137934900204282,8.948899814715759
BCI,Addition,scheduled,2013-12-06,0.493217805282653,-0.34166503772616874,-0.6827374489808191,2.225583271145637,1.8839182334194682,-1.153661574001696
AMC,Addition,off_cycle,2013-12-10,2.8511015147861807,2.048939971086794,1.6390386172811522,0.422670728683483,2.4716106997702774,1.442096811200544
NEC,Addition,off_cycle,2014-02-12,0.19189951395193194,1.2710479706003475,-1.8690305586671174,0.28707824808105187,1.5581262186813993,6.836388660353299
BGA,Addition,scheduled,2014-03-07,0.46349594932794114,0.4579821423068786,1.5468445879559312,4.544098984354017,5.0020811266608955,-3.4814617388885583
DCG,Removal,scheduled,2014-03-07,3.5049680583540304,2.018969729125686,-5.458135065747927,-8.182588685447012,-6.163618956321326,1.1873448579769672
SLR,Removal,scheduled,2014-03-07,-16.425967820329134,-14.613299809168378,2.1903780770356036,5.600053456572473,-9.013246352595903,-23.624561587078404
OFX,Addition,scheduled,2014-03-07,0.3553632669945239,-0.25076033027034983,5.388453933713699,4.715447221901837,4.4646868916314855,-7.853908286579525
AGI,Addition,scheduled,2014-03-07,2.734428692062285,3.192964571130852,-4.08148783308625,-5.1427334518179375,-1.949768880687086,-7.251474467386157
PGH,Addition,scheduled,2014-03-07,0.6450785778124302,1.8068799458886398,2.3275488190046323,2.1926745844837225,3.9995545303723627,2.8648564548331983
EWC,Removal,scheduled,2014-03-07,-11.123935314243937,-11.129449121265,-4.642805727549826,2.402457643665435,-8.726991477599562,-14.763144810666581
AUT,Removal,off_cycle,2014-05-20,-11.510978441080955,-12.788583843526657,-6.362253105703985,33.34912177149539,20.560537927968735,20.812970045209944
SDF,Addition,off_cycle,2014-05-20,2.9470130933138106,1.9961736960347976,-3.80802119453697,-4.869306987342115,-2.873133291307317,-10.072756681959117
ACR,Removal,scheduled,2014-06-06,0.9658729369549035,0.17143614369754534,20.1023941854895,38.10675058692789,38.278186730625436,40.57110246056992
ENV,Removal,off_cycle,2014-08-08,0.9929955057528361,0.938568800382733,-1.9984657685712781,6.587418597164762,7.525987397547496,9.112178931695642
BRU,Removal,scheduled,2014-09-05,-3.528587390068172,-2.345424510370353,-5.480891417050515,-11.096342768473821,-13.441767278844175,-12.972693029600679
TRS,Removal,scheduled,2014-09-05,4.359032805721485,1.9375601342691007,-1.4684093207437132,-2.638715715409523,-0.701155581140422,-2.731072800324374
TNE,Addition,scheduled,2014-09-05,-1.8807636924432547,0.05465300035676357,-0.08756274140487852,0.23237890655429805,0.2870319069110616,0.25137501797971584
MPL,Addition,off_cycle,2015-02-24,-0.6256994106325187,0.22972985984391903,-0.0887313170105708,1.4258289804240376,1.6555588402679566,-4.04508670051883
EHE,Addition,scheduled,2015-03-06,3.652031566333025,3.6960890696071447,3.096993462643427,0.6330930809788082,4.329182150585953,6.3674975332782
CTD,Addition,scheduled,2015-03-06,-1.0082359858199608,1.9602710909205623,2.107146342213373,-0.18828988378289946,1.7719812071376628,-0.33955986029167207
MGX,Removal,scheduled,2015-03-06,-0.8127039116628598,-0.7686464083887401,-1.9572515107289514,-6.67461341673603,-7.44325982512477,-15.796190967751246
BCI,Removal,scheduled,2015-03-06,-8.747952437010753,-10.92612552218145,1.7949422290384547,-3.224064916144131,-14.150190438325584,-39.186267959882116
REG,Addition,scheduled,2015-03-06,6.169540459048672,6.954322625256593,0.4754704601374615,-7.436728133131288,-0.48240550787469516,9.004443458871691
LYC,Removal,scheduled,2015-03-06,-4.2654915567270635,-4.221434053452944,-3.773588316583465,-21.469210113398574,-25.690644166851513,-19.44922115796046
HZN,Removal,scheduled,2015-03-06,9.05353463951335,1.4052727430765355,-2.9132165699881294,-25.278538379150948,-23.87326563607441,-22.87490501611368
AAC,Addition,scheduled,2015-03-06,2.000090821131817,1.4092283142152384,0.743684896748853,-3.258760147891049,-1.8495318336758104,0.9350119643875225
MYX,Addition,off_cycle,2015-05-07,11.455466091294864,8.273286575759009,-7.245727756457187,-5.7467293708921225,2.5265572048668856,-8.67800061063343
